year,brand,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age
2016,7,28,425000.0,9680.0,3,9,7,5.0
2012,23,129,325000.0,119120.0,1,9,11,9.0
2017,28,69,2650000.0,64593.0,1,14,1,4.0
2017,21,51,4195000.0,25000.0,1,9,2,4.0
2012,8,144,475000.0,23800.0,1,9,14,9.0
2012,8,167,335000.0,45000.0,3,9,14,9.0
2019,28,80,750000.0,19500.0,3,9,1,2.0
2018,21,76,5500000.0,32000.0,1,9,2,3.0
2017,8,81,565000.0,44329.0,3,9,14,4.0
2015,20,131,510000.0,48286.0,3,9,32,6.0
2015,8,161,465000.00000000006,24935.0,3,9,14,6.0
2016,28,87,1485000.0,59758.0,1,9,1,5.0
2017,20,25,610000.0,40119.0,3,9,32,4.0
2016,25,109,365000.0,22625.0,3,9,15,5.0
2017,20,25,699000.0,16540.0,3,9,32,4.0
2016,8,161,595000.0,41280.0,3,9,14,5.0
2016,28,43,1035000.0,97679.0,3,9,1,5.0
2015,20,131,575000.0,43000.0,1,9,32,6.0
2015,29,108,480000.0,14846.0,3,9,3,6.0
2017,7,146,749000.0,28771.0,3,9,7,4.0
2018,7,146,749000.0,33443.0,3,9,7,3.0
2010,20,116,265000.0,24000.0,3,9,32,11.0
2013,8,81,340000.0,44380.0,3,9,14,8.0
2016,26,115,675000.0,58000.0,1,9,27,5.0
2016,7,38,685000.0,69380.0,1,9,7,5.0
2016,20,36,445000.0,39500.0,3,9,32,5.0
2012,1,0,925000.0,74460.0,1,9,4,9.0
2017,21,76,4550000.0,42442.0,1,9,2,4.0
2014,29,141,485000.0,65327.0,3,9,3,7.0
2016,7,88,635000.0,19768.0,3,9,7,5.0
2016,27,102,215000.0,2814.0,3,9,40,5.0
2015,8,81,445000.0,20100.0,3,9,14,6.0
2015,21,74,1950000.0,52717.0,1,9,2,6.0
2015,8,81,445000.0,20100.0,3,9,14,6.0
2012,20,8,275000.0,46646.0,3,9,32,9.0
2014,0,111,1875000.0,49000.0,1,9,10,7.0
2018,21,76,5500000.0,32000.0,1,9,2,3.0
2020,1,148,3500000.0,5550.0,3,9,4,1.0
2010,1,164,2900000.0,48000.0,3,9,4,11.0
2016,0,9,1525000.0,31000.0,1,9,10,5.0
2012,0,10,975000.0,61000.0,3,9,10,9.0
2014,1,149,2350000.0,65000.0,1,9,4,7.0
2010,2,41,7600000.0,49000.0,3,9,44,11.0
2014,0,110,1470000.0,78000.0,1,9,10,7.0
2010,0,112,1550000.0,82000.0,1,9,10,11.0
2017,21,74,2350000.0,24000.0,3,9,2,4.0
2013,21,51,3850000.0,6000.0,3,9,2,8.0
2016,21,74,2000000.0,33000.0,3,9,2,5.0
